Date,positions,holdings,cash,total,returns
2023-01-04 08:00:00,0.0,0.0,10000.0,10000.0,0.0
2023-01-04 09:00:00,1.0,1.05937,9998.94063,10000.0,0.0
2023-01-04 10:00:00,1.0,1.0616,9998.94063,10000.00223,2.2300000002140052e-07
2023-01-04 11:00:00,1.0,1.06109,9998.94063,10000.001719999998,-5.099998878765888e-08
2023-01-04 12:00:00,1.0,1.06207,9998.94063,10000.0027,9.79999832395606e-08
2023-01-04 13:00:00,1.0,1.06045,9998.94063,10000.00108,-1.6199995611643203e-07
2023-01-04 14:00:00,1.0,1.06071,9998.94063,10000.001339999999,2.5999997044223733e-08
2023-01-04 15:00:00,1.0,1.06105,9998.94063,10000.00168,3.399999548570065e-08
2023-01-04 16:00:00,1.0,1.06243,9998.94063,10000.00306,1.3799997677921283e-07
2023-01-04 17:00:00,1.0,1.06034,9998.94063,10000.00097,-2.0899993602441214e-07
2023-01-04 18:00:00,1.0,1.06191,9998.94063,10000.00254,1.5699998479057342e-07
2023-01-04 19:00:00,1.0,1.06074,9998.94063,10000.00137,-1.1699997026770603e-07
2023-01-04 20:00:00,1.0,1.05991,9998.94063,10000.00054,-8.299998865979319e-08
2023-01-04 21:00:00,1.0,1.06056,9998.94063,10000.001189999999,6.499999649633992e-08
2023-01-04 22:00:00,1.0,1.06035,9998.94063,10000.000979999999,-2.0999997518700297e-08
2023-01-04 23:00:00,1.0,1.0603,9998.94063,10000.000929999998,-4.999999525523435e-09
2023-01-05 00:00:00,1.0,1.0605,9998.94063,10000.001129999999,1.999999810209374e-08
2023-01-05 01:00:00,1.0,1.06061,9998.94063,10000.00124,1.0999998911742637e-08
2023-01-05 02:00:00,1.0,1.06289,9998.94063,10000.003519999998,2.2799997156930374e-07
2023-01-05 03:00:00,1.0,1.06204,9998.94063,10000.00267,-8.499996995148251e-08
2023-01-05 04:00:00,1.0,1.06174,9998.94063,10000.002369999998,-2.9999992157137e-08
2023-01-05 05:00:00,1.0,1.06069,9998.94063,10000.00132,-1.0499997504798131e-07
2023-01-05 06:00:00,1.0,1.06043,9998.94063,10000.001059999999,-2.5999996600134523e-08
2023-01-05 07:00:00,1.0,1.06106,9998.94063,10000.00169,6.299999344427931e-08
2023-01-05 08:00:00,1.0,1.06034,9998.94063,10000.00097,-7.199998786067141e-08
2023-01-05 09:00:00,1.0,1.06055,9998.94063,10000.00118,2.0999997962789507e-08
2023-01-05 10:00:00,1.0,1.06202,9998.94063,10000.002649999999,1.4699998263090208e-07
2023-01-05 11:00:00,1.0,1.06235,9998.94063,10000.00298,3.299999140615739e-08
2023-01-05 12:00:00,1.0,1.06187,9998.94063,10000.002499999999,-4.7999985763880204e-08
2023-01-05 13:00:00,1.0,1.06111,9998.94063,10000.00174,-7.599998086416093e-08
2023-01-05 14:00:00,1.0,1.05995,9998.94063,10000.00058,-1.1599997984390598e-07
2023-01-05 15:00:00,1.0,1.05524,9998.94063,9999.995869999999,-4.7099997280142247e-07
2023-01-05 16:00:00,1.0,1.05393,9998.94063,9999.99456,-1.3100005402666426e-07
2023-01-05 17:00:00,1.0,1.05185,9998.94063,9999.992479999999,-2.080001131332665e-07
