Date,Open,High,Low,Close,Volume
2023-01-01 00:00:00,1.0800,1.0810,1.0790,1.0805,1000
2023-01-01 01:00:00,1.0805,1.0820,1.0800,1.0815,1100
2023-01-01 02:00:00,1.0815,1.0830,1.0810,1.0825,1200
2023-01-01 03:00:00,1.0825,1.0840,1.0820,1.0835,1300
2023-01-01 04:00:00,1.0835,1.0850,1.0830,1.0845,1400
2023-01-01 05:00:00,1.0845,1.0860,1.0840,1.0855,1500
2023-01-01 06:00:00,1.0855,1.0870,1.0850,1.0865,1600
2023-01-01 07:00:00,1.0865,1.0880,1.0860,1.0875,1700
2023-01-01 08:00:00,1.0875,1.0890,1.0870,1.0885,1800
2023-01-01 09:00:00,1.0885,1.0900,1.0880,1.0895,1900
2023-01-01 10:00:00,1.0895,1.0910,1.0890,1.0905,2000
2023-01-01 11:00:00,1.0905,1.0920,1.0900,1.0915,2100
2023-01-01 12:00:00,1.0915,1.0930,1.0910,1.0925,2200
2023-01-01 13:00:00,1.0925,1.0940,1.0920,1.0935,2300
2023-01-01 14:00:00,1.0935,1.0950,1.0930,1.0945,2400
2023-01-01 15:00:00,1.0945,1.0960,1.0940,1.0955,2500
2023-01-01 16:00:00,1.0955,1.0970,1.0950,1.0965,2600
2023-01-01 17:00:00,1.0965,1.0980,1.0960,1.0975,2700
2023-01-01 18:00:00,1.0975,1.0990,1.0970,1.0985,2800
2023-01-01 19:00:00,1.0985,1.1000,1.0980,1.0995,2900
2023-01-01 20:00:00,1.0995,1.1010,1.0990,1.1005,3000
2023-01-01 21:00:00,1.1005,1.1020,1.1000,1.1015,3100
2023-01-01 22:00:00,1.1015,1.1030,1.1010,1.1025,3200
2023-01-01 23:00:00,1.1025,1.1040,1.1020,1.1035,3300
2023-01-02 00:00:00,1.1035,1.1050,1.1030,1.1045,3400
2023-01-02 01:00:00,1.1045,1.1060,1.1040,1.1055,3500
2023-01-02 02:00:00,1.1055,1.1070,1.1050,1.1065,3600
2023-01-02 03:00:00,1.1065,1.1080,1.1060,1.1075,3700
2023-01-02 04:00:00,1.1075,1.1090,1.1070,1.1085,3800
2023-01-02 05:00:00,1.1085,1.1100,1.1080,1.1095,3900
