Date,positions,holdings,cash,total,returns
2023-01-01 00:00:00,0.0,0.0,10000.0,10000.0,0.0
2023-01-01 01:00:00,1.0,1.0815,9998.9185,10000.0,0.0
2023-01-01 02:00:00,1.0,1.0825,9998.9185,10000.001,1.0000000005838672e-07
2023-01-01 03:00:00,1.0,1.0835,9998.9185,10000.002,9.99999900663795e-08
2023-01-01 04:00:00,1.0,1.0845,9998.9185,10000.003,9.999998007437227e-08
2023-01-01 05:00:00,1.0,1.0855,9998.9185,10000.003999999999,9.999996986032045e-08
2023-01-01 06:00:00,1.0,1.0865,9998.9185,10000.005,9.999996009035783e-08
2023-01-01 07:00:00,1.0,1.0875,9998.9185,10000.006,9.999995009835061e-08
2023-01-01 08:00:00,1.0,1.0885,9998.9185,10000.007,9.999994010634339e-08
2023-01-01 09:00:00,1.0,1.0895,9998.9185,10000.008,9.999993011433617e-08
2023-01-01 10:00:00,1.0,1.0905,9998.9185,10000.009,9.999992012232894e-08
2023-01-01 11:00:00,1.0,1.0915,9998.9185,10000.01,9.999991013032172e-08
2023-01-01 12:00:00,1.0,1.0925,9998.9185,10000.011,9.99998999162699e-08
2023-01-01 13:00:00,1.0,1.0935,9998.9185,10000.012,9.999988992426267e-08
2023-01-01 14:00:00,1.0,1.0945,9998.9185,10000.012999999999,9.999987993225545e-08
2023-01-01 15:00:00,1.0,1.0955,9998.9185,10000.014,9.999986994024823e-08
2023-01-01 16:00:00,1.0,1.0965,9998.9185,10000.015,9.999985994824101e-08
2023-01-01 17:00:00,1.0,1.0975,9998.9185,10000.016,9.999984995623379e-08
2023-01-01 18:00:00,1.0,1.0985,9998.9185,10000.017,9.999983996422657e-08
2023-01-01 19:00:00,1.0,1.0995,9998.9185,10000.018,9.999982997221935e-08
2023-01-01 20:00:00,1.0,1.1005,9998.9185,10000.019,9.999981998021212e-08
2023-01-01 21:00:00,1.0,1.1015,9998.9185,10000.02,9.99998099882049e-08
2023-01-01 22:00:00,1.0,1.1025,9998.9185,10000.021,9.999979999619768e-08
2023-01-01 23:00:00,1.0,1.1035,9998.9185,10000.021999999999,9.999978978214585e-08
2023-01-02 00:00:00,1.0,1.1045,9998.9185,10000.023,9.999978001218324e-08
2023-01-02 01:00:00,1.0,1.1055,9998.9185,10000.024,9.999977002017602e-08
2023-01-02 02:00:00,1.0,1.1065,9998.9185,10000.025,9.99997600281688e-08
2023-01-02 03:00:00,1.0,1.1075,9998.9185,10000.026,9.999975003616157e-08
2023-01-02 04:00:00,1.0,1.1085,9998.9185,10000.027,9.999974004415435e-08
2023-01-02 05:00:00,1.0,1.1095,9998.9185,10000.028,9.999973005214713e-08
